id.S	__typename.S	countOutside.N	createdAt.S	distance.N	distance_left_button_point.N	distance_questionary_point.N	distance_right_button_point.N	dt.N	element.S	epoch.N	height.N	isMouseDetected.BOOL	isPositionOutside.BOOL	isTouchDetected.BOOL	questionID.S	questionaryInteractionID.S	speed.N	speedAverage.N	sumDistance.N	sumTimeMiliseconds.N	sumTimeMilisecondsBeforeNextQuestion.N	type.S	updatedAt.S	width.N	x.N	y.N
c39769ad-63b3-4e2a-8d12-bd3f03e75d7c	Interaction	0	2020-12-10T13:41:22.142Z	0	211.0781845667619	219.52904135899652	346.63237009835075	5	questionary	1607607679180	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.00014779303309377554	8.06225774829855	7813	7796	position	2020-12-10T13:41:22.142Z	400	143	512
13bd40da-88bd-4dbb-a239-5345f220412e	Interaction	0	2020-12-10T13:41:21.132Z	8.06225774829855	211.0781845667619	219.52904135899652	346.63237009835075	7793	questionary	1607607679172	561.796875	False	False	True	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0.0010345512316564287	0	0	17	0	position	2020-12-10T13:41:21.132Z	400	143	512
aaa6e33b-0768-40d2-85a9-27042effad0f	Interaction	0	2020-12-10T13:41:21.152Z	0	257.9379770409933	258.68320393871727	391.44859177163994	5	questionary	1607607680985	585.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.13259314730160607	415.7037619961253	9618	963	position	2020-12-10T13:41:21.152Z	400	106	541
3275221d-6c4f-4f95-a4e2-0805bdf7c29f	Interaction	0	2020-12-10T13:41:22.265Z	213.9369065869655	257.9379770409933	258.68320393871727	391.44859177163994	959	questionary	1607607680976	585.796875	False	False	True	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0.22308332282269605	0.1354000120869738	201.7668554091598	8655	0	position	2020-12-10T13:41:22.265Z	400	106	541
0a57567e-f51f-43d6-879f-f459ebeb2f33	Interaction	0	2020-12-10T13:41:22.141Z	0	257.9379770409933	258.68320393871727	391.44859177163994	4	questionary	1607607680991	585.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.118635973901437	415.7037619961253	9625	970	position	2020-12-10T13:41:22.141Z	400	106	541
be4843dd-8110-40c8-974f-e82dea41f46f	Interaction	0	2020-12-10T13:41:22.156Z	0	203.94361965994426	525.9600745303773	340.57745080965066	5	questionary	1607607671367	0	False	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	0	0	position	2020-12-10T13:41:22.156Z	0	147	505
dfca9d67-6611-4150-9367-d62f55b736b7	Interaction	0	2020-12-10T13:41:22.275Z	0	257.9379770409933	258.68320393871727	391.44859177163994	2	questionary	1607607680987	585.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.12522686134040573	415.7037619961253	9623	968	position	2020-12-10T13:41:22.275Z	400	106	541
ab30fc8e-a552-4448-b241-c08cafe252c4	Interaction	0	2020-12-10T13:41:22.153Z	0	111.94641575325224	577.6374295351713	214.0840956259946	5	questionary	1607607681978	0	False	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.1161633687194388	597.7147506753806	10611	982	position	2020-12-10T13:41:22.153Z	0	284	503
8b746219-0573-4b28-8e39-bc32eef44707	Interaction	0	2020-12-10T13:41:20.254Z	0	203.94361965994426	211.74040710265956	340.57745080965066	4	questionary	1607607671376	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	10	10	position	2020-12-10T13:41:20.254Z	400	147	505
98ede642-4c5a-4387-a46b-da8b1c967a02	Interaction	0	2020-12-10T13:41:19.589Z	8.06225774829855	211.0781845667619	219.52904135899652	346.63237009835075	7793	questionary	1607607679172	561.796875	False	False	True	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0.0010345512316564287	0	0	17	0	position	2020-12-10T13:41:19.589Z	400	143	512
